
# File: Shinjitai-Kyūjitai.txt
# Version: 1.74
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: Compatibility
U+79AE U+2572A	*
U+2684A U+268C2	*
U+2B4D0 U+28C18	*

# Group: 礼・禮
U+793C U+79AE

# Group: 国・國
U+56FD U+570B

# Group: 寿・壽
U+5BFF U+58FD
U+92F3 U+9444

# Group: 将・將
U+5C06 U+5C07
U+5968 U+596C

# Group: 娄・婁
U+6570 U+6578
U+697C U+6A13

# Group: 夹・夾
U+5CE1 U+5CFD
U+631F U+633E
U+72ED U+72F9

# Group: 来・來
U+6765 U+4F86

# Group: 畳・疊
U+7573 U+758A

# Group: ⿱爫夫・奚
U+6E13 U+6EAA
U+9D8F U+9DC4
U+27BBE U+8C3F	*
U+28FF8 U+96DE	*
U+2D6F3 U+5FAF	*
U+2E6EA U+8E4A	*

# Group: 区・區
U+533A U+5340
U+67A2 U+6A1E
U+6B27 U+6B50
U+6BB4 U+6BC6
U+99C6 U+9A45

# Group: 尺・睪
U+5C3A U+776A	*
U+629E U+64C7
U+6CA2 U+6FA4
U+8A33 U+8B6F
U+91C8 U+91CB
U+99C5 U+9A5B
U+544E U+3601	*
U+2C4E4 U+4181	*
U+26B28 U+4549	*
U+2A79A U+51D9	*
U+362E U+58BF	*
U+216C4 U+5B15	*
U+21D78 U+5DA7	*
U+225DC U+61CC	*
U+233E7 U+6AA1	*
U+2DD10 U+71E1	*
U+2542E U+790B	*
U+42C7 U+7E79	*
U+8687 U+880C	*
U+922C U+9438	*
U+3121F U+9E05	*
U+7C8E U+25F36	*
U+9FC8 U+2AAD9	*

# Group: 亜・亞
U+4E9C U+4E9E
U+60AA U+60E1
U+2BAD6 U+5641	*
U+5516 U+555E	*
U+2AC25 U+30590	*
U+2BC2B U+5A6D	*
U+2C0B2 U+690F	*

# Group: 尭・堯
U+5C2D U+582F	*
U+6681 U+66C9
U+713C U+71D2
U+21E33 U+5DA2	*
U+234E4 U+6A48	*
U+23DDD U+6F86	*
U+29719 U+9952	*
U+2DF59 U+76A2	*
U+2E3D4 U+8558	*
U+2E6E1 U+8E7A	*
U+2E79A U+9076	*
U+2EA88 U+9A4D	*

# Group: 𰃮・𦥯
U+5B66 U+5B78
U+899A U+89BA

# Group: 𰃮・𤇾
U+300EE U+241FE	*
U+55B6 U+71DF
U+6804 U+69AE
U+86CD U+87A2
U+52B4 U+52DE
U+22B50 U+6488	*
U+2DF0E U+7646	*
U+5B66 U+21983	*
U+5CC3 U+5D64	*
