
# File: Layout.txt
# Date: 2023-06-05
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+2A0E9 U+9D96
U+9DC0 U+9DBF
U+9DBA U+2EB49
U+9DB4 U+2B6CF
U+2A1A9 U+9DF2
U+2A1BD U+9DFA
U+2A243 U+2CE00
U+9CFC U+9D0D
U+32375 U+2A248
U+4CC4 U+9D1C
U+2CE04 U+2B6DF
U+2A217 U+9E17
U+2CE07 U+2B6E4
U+2CDD1 U+9D3D
U+4CE4 U+2A09F
U+9D69 U+2A096
U+9D92 U+2A0E0
U+2CE19 U+2B6F9
U+2A0E6 U+2A0E7
U+2A03C U+9D40
U+2A0FF U+2B6CC
U+2A19D U+2A183
U+9D01 U+9D0C
U+9CED U+207C0
U+9CFB U+29FC8
U+4CD3 U+2A027
U+4CED U+2A0F9
U+2A13C U+9DD5
U+2A1EC U+9E12
U+4D0F U+2A20F
U+9DA7 U+2A0F3
U+380F U+2AA53
U+66C4 U+66C5
U+24483 U+7217
U+91F9 U+2B488
U+21F32 U+5D94
U+5D4E U+21EA5
U+3B02 U+23226
U+2663D U+2D476
U+5CE3 U+30394
U+5DA2 U+5DA4
U+66C9 U+2C055
U+3123E U+9E09
U+2AFE8 U+31D0E
U+2A09E U+2A08F
U+3AF5 U+6683
U+68D1 U+23509
U+24F85 U+2DF5C
U+303B2 U+5D88
U+5D5D U+2AA47
U+5D81 U+37FA
U+3583 U+2BA72
U+2BD85 U+37E5
U+3801 U+5D7E
U+5852 U+31891
U+21EC4 U+5D75
U+32398 U+2A4C7
U+5D6E U+21ED7
U+29120 U+2911A
U+2D00D U+2D00E
U+2DA01 U+23353
U+6AB7 U+23767
U+321C1 U+2B482
U+250EB U+301B8
U+53F9 U+2A832
U+5D04 U+21E03
U+5DAE U+21F57
U+21928 U+5B4C
U+2A042 U+9D49
U+2A22E U+9E1E
U+2D97C U+2C033
U+3806 U+21F24
U+31AA2 U+2083D
U+53FB U+53E6
U+5412 U+2D1BF
U+3570 U+23B26
U+362A U+3025D
U+2ACB8 U+2C0D4
U+5DA0 U+3810
U+5DCA U+21FB8
U+8C45 U+2A6A1
U+5DC4 U+5DC3
U+316D3 U+3038E
U+9F9D U+2A6BC
U+68F7 U+2C0C1
U+3572 U+5446
U+2AC73 U+674F
U+20BFD U+27FB7
U+2BA50 U+53F7
U+20BB1 U+20BB2
U+5D3F U+37E7
U+20C2E U+2DEB2
U+2BB59 U+20BB7
U+20BC8 U+3566
U+37CF U+37D4
U+91E6 U+30F1F
U+316CD U+2AA27
U+5D18 U+5D19
U+2B9C3 U+31439
U+21F3E U+2AA5A
U+2A629 U+2A62D
U+5DD8 U+5DDA
U+2AA58 U+303B9
U+5CFD U+3039F
U+935F U+28A5B
U+21DED U+21E0A
U+21F73 U+21F7E
U+67E6 U+67E5
U+709F U+241C1
U+2084E U+3014A
U+2D879 U+2DEDB
U+7520 U+661F
U+2D94F U+65F2
U+709A U+7085
U+65FA U+2D955
U+31BB3 U+23168
U+5C7F U+316C7
U+5DBC U+3818
U+5D2F U+5D1F
U+2D953 U+6619
U+232AF U+66C7
U+79D0 U+2E0B3
U+381A U+21F75
U+23190 U+2C02D
U+3038F U+5CBD
U+5D20 U+5D2C
U+664C U+6651
U+5C98 U+316CA
U+5CF4 U+21DF9
U+89C2 U+2C887
U+898C U+27808
U+899B U+27828
U+2C984 U+27E83
U+2B6BB U+2A02E
U+2D59D U+316E7
U+79C4 U+5B63
U+5401 U+20BCA
U+5407 U+20BC2
U+5457 U+5458
U+5504 U+54E1
U+216A1 U+2BC05
U+6975 U+318F5
U+5D77 U+5D78
U+7076 U+2A8BE
U+233F9 U+241B0
U+7091 U+233E6
U+2127F U+233C5
U+675C U+21263
