
# File: Addition.txt
# Version: 1.14
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+6192 U+2BED1

# Group: 匚・匸 (Outside) | 粞・𪟱
U+7C9E U+2A7F1

# Group: 匚・匸 (Outside) | 非・匪
U+975E U+532A
U+60B1 U+3971
U+68D1 U+69A7
U+30A82 U+7BDA
U+4FF3 U+20328
U+257CD U+25836
U+7DCB U+260C4
U+7EEF U+26217
U+83F2 U+26DC1
U+966B U+28EC3
U+6E04 U+2ADAC
U+6392 U+30512

# Group: 匚・匸 (Outside) | 舊・匶
U+820A U+5336
U+6B0D U+2385B

# Group: 匚・匸 (Outside) | 虎・𠥶
U+864E U+20976
U+2BFB9 U+2BFC8
U+271EC U+2B1C9

# Group: 匚・匸 (Outside) | 虒・㔸
U+8652 U+3538
U+4599 U+20978

# Group: 匚・匸 (Outside) | 夾・匧
U+593E U+5327
U+3932 U+3966
U+3C30 U+3C3C
U+608F U+611C
U+7B74 U+7BCB
U+965C U+967F
U+36CD U+217A1
U+220BF U+220EB
U+3F9C U+24DFE
U+57C9 U+2D3BB

# Group: 匚・匸 (Outside) | 夹・⿷匚夹
U+2BE82 U+60EC
U+41F2 U+7BA7
U+9655 U+2CBC5
U+2BE81 U+3179D

# Group: 匚・匸 (Outside) | 妟・匽
U+599F U+533D
U+4CDB U+9DA0
U+2749B U+274F1
U+289C9 U+4937
U+29DD1 U+9C0B
U+2A564 U+9F34
U+2A73F U+5043
U+2A8DA U+5830
U+2CA80 U+90FE
U+30964 U+25214

# Group: 匚・匸 (Outside) | ⿱日𭑨・⿷匸⿱日𭑨
U+31024 U+3225E

# Group: 匚・匸 (Outside) | 晏・⿷匸晏
U+235E4 U+236BC

# Group: 匚・匸 (Outside) | 隹・龨
U+96B9 U+9FA8
U+63A8 U+3A24
U+6DEE U+6ED9
U+7DAD U+260F6
U+51C6 U+2A7A9

# Group: 匚・匸 (Outside) | 異・㔴
U+7570 U+3534

# Group: 匚・匸 (Outside) | 翼・𠥦
U+7FFC U+20966

# Group: 匚・匸 (Outside) | 米・𠤻
U+7C73 U+2093B
U+25E6B U+25EAB
U+25E37 U+2DB4F

# Group: 匚・匸 (Outside) | 阿・𠥍
U+963F U+2094D

# Group: 匚・匸 (Outside) | 尊・𠥙
U+5C0A U+20959

# Group: 匚・匸 (Outside) | 日・𫧍
U+65E5 U+2B9CD

# Group: 匚・匸 (Outside) | 矢・医
U+77E2 U+533B
U+2C65C U+2C65F
U+44A8 U+30C43
U+20C48 U+314A8

# Group: 匚・匸 (Outside) | 飢・㔳
U+98E2 U+3533

# Group: 匚・匸 (Outside) | 泊・𠥋
U+6CCA U+2094B

# Group: 匚・匸 (Outside) | 于・𭅕
U+4E8E U+2D155

# Group: 匚・匸 (Outside) | 王・𤣩・匡
U+738B U+5321
U+248E9 U+5321
U+4EFC U+344C
U+26B2C U+44B0
U+869F U+45B1
U+738F U+52BB
U+3575 U+54D0
U+5FF9 U+6047
U+6789 U+6846
U+6C6A U+6D2D
U+2A6DF U+7736
U+27976 U+8A86
U+8ED6 U+8EED
U+6282 U+22B24
U+73AB U+22F33
U+72C2 U+2477F
U+26284 U+262BA
U+43D5 U+2669E
U+2CAC3 U+28991
U+958F U+28D11
U+980A U+29491
U+3EAF U+2A94E
U+24901 U+2ABF5
U+95F0 U+2CBA3
U+37B7 U+2D595
U+65FA U+2D970
U+32118 U+2E733
U+73D6 U+31447
U+21260 U+3159F

# Group: 匚・匸 (Outside) | 㞷・𠥆
U+37B7 U+20946

# Group: 匚・匸 (Outside) | 賣・𧶠・匵
U+8CE3 U+5335
U+27DA0 U+5335

# Group: 匚・匸 (Outside) | 夘・𰅫
U+5918 U+3016B

# Group: 𠘨 (Outside) | 鳥・鳯
U+9CE5 U+9CEF
U+2B6B4 U+4187
U+9D6D U+28B77
U+2A143 U+2A1C3

# Group: 𠘨 (Outside) | 𩾏・鳳
U+29F8F U+9CF3

# Group: 𠘨 (Outside) | 皇・凰
U+7687 U+51F0
