
# File: Unifiable.txt
# Version: 1.59
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+8074 U+265DF

# Group: UCV-261 (徴・徵)
U+5FB4 U+5FB5

# Group: UCV-263 (𡵉・𡵂)
U+21D49 U+21D42
U+2304B U+22F38

# Group: UCV-264 (𨺓・隆)
U+28E93 U+9686

# Group: UCV-265 (壳・⿱⿳士冖一几)
U+6BBB U+6BBC
U+23486 U+234D8
U+2A14F U+2A1AA
U+6164 U+22871	*

# Group: UCV-266 (⿳士冖禾・𥞤)
U+6FF2 U+7014

# Group: UCV-267 (寜・寧)
U+5BDC U+5BE7

# Group: UCV-268 (・)
U+8204 U+8203
U+6F5F U+6F99
U+7361 U+2486F

# Group: UCV-270 (巛・𡿧)
U+83D1 U+8458
U+8F1C U+8F3A
U+5DDB U+21FE7
U+6DC4 U+6E7D
U+9319 U+937F
U+271C4 U+271D5
U+753E U+31C2D	*
U+7DC7 U+31E7C	*

# Group: UCV-271 (鳯・鳳)
U+9CEF U+9CF3

# Group: UCV-272 (皐・臯)
U+76A1 U+76A5
U+7FF6 U+7FFA
U+5651 U+5637
U+66AD U+66CD
U+69F9 U+6A70
U+7354 U+734B
U+7690 U+81EF

# Group: UCV-274 (戋・㦮)
U+620B U+39AE
U+6808 U+685F
U+7B3A U+41F3

# Group: UCV-275 (𧈪・蚩)
U+2722A U+86A9
U+28522 U+28580

# Group: UCV-276 (⿱廿⿻口土・堇)
U+230B7 U+65B3
U+29955 U+9A39
U+21164 U+21178

# Group: UCV-278 (𭦟・㬅)
U+2D99F U+3B05

# Group: UCV-279 (焭・煢)
U+712D U+7162
U+6A69 U+23727
U+348C U+203BD
U+26EBA U+26F53

# Group: UCV-280 (㡳・底)
U+3873 U+5E95

# Group: UCV-281 (奥・奧)
U+5965 U+5967

# Group: UCV-282 (粤・粵)
U+7CA4 U+7CB5

# Group: UCV-283 (𣥂・少)
U+6B65 U+6B69
U+6D89 U+6E09
